island;longitude;latitude
Alejandro Selkirk;-33.76;-80.79
Aviation;5.89;-162.08
Nu'utele;-14.06;-171.42
Easter;-27.11; -109.36
Pearl & Hermes;27.79;-175.82
Ngerebelas;8.04;134.70
Orak;8.04;134.69
Uiha;-19.90;-174.40
Ouvea;-20.62;166.57
Vava'u;-18.62;-173.99
Navutu-i-Loma;-18.97;-178.48
Farallon de Medinilla;16.02;146.06
Ndeni;-10.72;165.93
Ana'a;-17.34;-145.52
Apataki;-15.34; -146.44
Chesterfield;-19.88;158.47
Hiti;-16.71;-144.12
Katiu;-16.34;-144.40
Kauehi;-15.82;-145.11
Napuka;-14.17;-141.27
Nui;-7.25;177.15
Nukutavake;-19.28;-138.78
Paraoa;-19.12;-140.69
Reao;-18.50;-136.37
Taenga;-16.35;-143.21
Tuanake;-16.66;-144.22
Tureia;-20.77;-138.56
Vanavana;-20.77;-139.14
Morro Juanango;-33.62;-78.89
Fayo;8.55;151.34
Totegegie;-23.078;-134.90
Morro El Verdugo;-33.68;-78.79
Tanna;-19.52;169.36
Mbanika;-9.10;159.19
Marcus;24.29;153.98
Malakula;-16.30;167.52
Ulalu;7.40;151.64
Aneityum;-20.19;169.81
Espirito Santo;-15.31;166.9
Vanua Lava;-13.83;167.47
New Ireland;-3.34;152.00
Vatulele;-18.52;177.63
Erromango;-18.80;169.14
Maewo;-15.15;168.12
Efate;-17.64;168.36
Pott;-19.58;163.59
Wailagi Lala;-16.75;-179.10
Fakaofo;-9.38;-171.22
Nukunonu;-9.20;-171.85
Qamea;-16.77;-179.76
Pavuvu;-9.07;159.11
Tepoto;-16.81;-144.28
Bainbridge #1;-0.35;-90.57
Marchena;0.32;-90.47
Sombrero Chino;-0.37;-90.58
Mokapu;21.18;-156.92
Nu'ulua;-14.07;-171.41
Ulawa;-9.75;161.97
Ono;-18.89;178.48
Sovu;-17.16; -178.83
Ghizo;-8.08;156.80
Macauley;-30.23;-178.43
Taongi;14.65;169.01
Erikub;9.02;170.04
Gaferut;9.23;145.38
Motu O Manu;-14.55; -168.14
Ambrym;-16.25;168.13
Mugaba;-11.60;160.18
Marielas Sur;-0.60;-91.09
Totiw;7.34;151.78
Sikaiana;-8.38;162.73
Fafa;-21.09;-175.16
Velitoa;-21.08;-175.13
Cheeseman;-30.54;-178.57
Curtis;-30.54;-178.56
Kolombagara;-7.98;157.06
Punta Bowditch Este;-0.53;-90.51
Corona del Diablo Central;-1.22;-90.42
Guy Fawkes;-0.52;-90.53
Howland;0.81;-176.62
Long;-5.28;147.07
Necker;23.58;-164.70
Atata;-21.07;-175.25
Uea;-12.47;176.99
